,comments,ratings
0,The only thing I would add would be more in-depth analysis of the recent campaigns of Brexit and trumps as well as an analysis of far leftist movements ,3.5
1,examples are quite good make sure make u i words more simple and clear and slow ..... but for example point of view its cool..at hot buttons its good ,3.5
2,nice lecture ,5
3,Thank you so much the course is really helpful and ease to understand ,4.5
4,He is personable and it appears as if he is able to transmit info to the easily to the listeners ,5
5,Why did I leave this ratings Because I like the course ,4
6,Great overall filming and montage could be better i ,4.5
7,Bloody good mate ,5
8,I know most of the information ,2
9,Very easy to understand and clear examples ,4
10,Andy is reassuring and clear in his speech If I don't get a basic grasp of his subject then I never will ,5
11,Great course to get a general understanding of the topic ,4.5
12,Really interesting contents explained with clarity Thanks for this great course ,5
13,This is a fascinating course Very informative A real eye opener ,5
14,excellent ,5
15,This is an excellent and comprehensive course of social psychology If you are curious about what you can learn from this field of study buy it If you already know a lot about it but could use some reminders on the different aspects of social psychology buy it If you want to know more about why and how you behave towards others and how subtle cues in the environment can affect your decisions and actions buy it The lectures are great and easy to understand and the professor is very knowledgeable answers questions fast and suggests additional material when requested Thanks a lot Andrew for the great effort you put into this course ,5
16,"Great course so far I'm about 2 sections through at this point or some 33 modules in The lecturer paces the content well gives good and detailed examples of the concepts they're speaking about and the information itself is more or less what I wanted - which was to understand human behaviour a bit better It's pretty clear the lecturer is doing one-takes, as there's the occasional awkward pause or correction in the audio but instead of being a negative I think it goes to show that he's really familiar with the content and lecturing in general Would recommend ",5
17,Content was well organised and presented with clarity and enthusiasm More variety of resources would be good for example video links as this would have helped me to remember the material better Otherwise excellent course ,4.5
18,Very interesting ,5
19,I like this bloke he offers ,5
20,so interesting and the instructor is engaging ,5
21,I enjoyed the course quite a bit it really did feel like it led through a lot of broad subjects which got me to pin point what I'm interested in and want to look more into Having heard a lot of these concepts before it was really great how it was presented and I had quite a few aha moments on topics like Cognitive Dissonance and priming ,5
22,It's a very good course clearly outlining each section It's very informative and broken down so it's easy to understand Love it ,4.5
23,Very interesting way of explanation The activities are helping remember the learning ,5
24,Very informative good explanations effective examples ,5
25,Very good course lots of clear information well presented with lots of examples and case study Also presented in an easy to follow fun and interesting way ,5
26,It is under the theme of sales but no sales in it yet It is very good though to recognize how people make their decisions ,4
27,Good content Mobile enabled Very well delivered by a clearly credible and passionate professional who is an expert in their field ,5
28,"Everything can be found in other sources Nothing new and no original studies Talking too slow listened at 1,5-1,75 speed Good for people who just start studying psychology ",3
